NONE	M	The order was filled quickly and correctly. No problems at all, highly recommended.
NONE	M	I found the parts I was looking for much cheaper than at major part dealer sites. The delivery was fast and the part fit perfectly. Great service. No complaints. You will definitely get more of my business and I will gladly recommend you to friends!
NONE	M	Camicia non conforme rispetto all'ordine  : sbagliate le cuciture dei bottoni.
NONE	F	This is the greatest thing, Once a month Petflow sends a box of "goodies" for your pet . Charlotte my ShihTzu got her first one on December 22nd just in time for Christmas .  She got an adorable cow toy,  some treats shes never tried before but seemed to like all of them. And some teeth cleaner that doesn't involve brushing. I dont know whos more excited about next month's package Charlotte or me...
NONE	M	Honesty and sincerity are very important to have and I think that they have both. I would definitely recommend them.
NONE	F	One Product to big for being a med. and the color was not what was expected.
50	F	Used this site many times.  I always start mysearch here. Prices change daily and if you want to really research the price continually at many different sites, I have found cheaper cars elsewhere.  However, if you don't have a lot of time to research the price, this site has always been among the top three (e.g., cheapest) of the ten sites I use to reserve a car.
NONE	F	Very unsatisfied with product. It was shipped with multiple wrong parts. It took months to resolve. They stopped answering my calls to get the right parts so i had to call credit card Company to get a credit before they finally responded. I wish I would have read thier reviews online prior to buying.
NONE	M	Det rigtige til tiden
NONE	M	We were very happy to find out, that we also could take as many river cruises as we liked in the period of the ticket.
