Year	Domain	Name	Nationality	Gender
2009	Physics	Charles K. Kao	China	Male
2009	Physics	Willard S. Boyle	USA	Male
2009	Physics	George E. Smith	USA	Male
2009	Chemistry	Venkatraman Ramakrishnan	UK	Male
2009	Chemistry	Thomas A. Steitz	USA	Male
2009	Chemistry	Ada E. Yonath	Israel	Female
2009	Medicine	Elizabeth Blackburn	USA	Female
2009	Medicine	Carol W. Greider	USA	Female
2009	Medicine	Jack W. Szostak	USA	Male
2009	Literature	Herta Müller	Germany	Female
2009	Peace	Barack Obama	USA	Male
2009	Economics	Elinor Ostrom	USA	Female
2009	Economics	Oliver E. Williamson	USA	Male
2008	Chemistry	Martin Chalfie	USA	Male
2008	Chemistry	Osamu Shimomura	USA	Male
2008	Chemistry	Roger Y. Tsien	USA	Male
2008	Economics	Paul Krugman	USA	Male
2008	Literature	Jean-Marie Gustave Le Clézio	France	Male
2008	Medicine	Françoise Barré-Sinoussi	France	Female
2008	Medicine	Luc Montagnier	France	Male
2008	Medicine	Harald zur Hausen	Germany	Male
2008	Peace	Martti Ahtisaari	Finland	Male
2008	Physics	Makoto Kobayashi	Japan	Male
2008	Physics	Toshihide Maskawa	Japan	Male
2008	Physics	Yoichiro Nambu	USA	Male
2007	Chemistry	 Gerhard Ertl 	Germany	Male
2007	Economics	 Leonid Hurwicz 	USA	Male
2007	Economics	 Eric S. Maskin 	USA	Male
2007	Economics	 Roger B. Myerson 	USA	Male
2007	Literature	 Doris Lessing 	UK	Female
2007	Medicine	 Mario R. Capecchi 	USA	Male
2007	Medicine	 Sir Martin J. Evans 	UK	Male
2007	Medicine	 Oliver Smithies 	USA	Male
2007	Peace	 Intergovernmental Panel on Climate Change 	Switzerland	Organization
2007	Peace	 Al Gore 	USA	Male
2007	Physics	 Albert Fert 	France	Male
2007	Physics	 Peter Grunberg 	Germany	Male
2006	Chemistry	 Roger D. Kornberg 	USA	Male
2006	Economics	 Edmund S. Phelps 	USA	Male
2006	Literature	 Orhan Pamuk 	Turkey	Male
2006	Medicine	 Andrew Z. Fire 	USA	Male
2006	Medicine	 Craig C. Mello 	USA	Male
2006	Peace	 Grameen Bank 	Bangladesh	Organization
2006	Peace	 Muhammad Yunus 	Bangladesh	Male
2006	Physics	 John C. Mather 	USA	Male
2006	Physics	 George F. Smoot 	USA	Male
2005	Chemistry	 Yves Chauvin 	France	Male
2005	Chemistry	 Robert H. Grubbs 	USA	Male
2005	Chemistry	 Richard R. Schrock 	USA	Male
2005	Economics	 Robert J. Aumann 	Israel, USA	Male
2005	Economics	 Thomas C. Schelling 	USA	Male
2005	Literature	 Harold Pinter 	UK	Male
2005	Medicine	 Barry J. Marshall 	Australia	Male
2005	Medicine	 J. Robin Warren 	Australia	Male
2005	Peace	 International Atomic Energy Agency 	Austria	Organization
2005	Peace	 Mohamed ElBaradei 	Egypt	Male
2005	Physics	 Roy J. Glauber 	USA	Male
2005	Physics	 John L. Hall 	USA	Male
2005	Physics	 Theodor W. Hansch 	Germany	Male
2004	Chemistry	 Aaron Ciechanover 	Israel	Male
2004	Chemistry	 Avram Hershko 	Israel	Male
2004	Chemistry	 Irwin Rose 	USA	Male
2004	Economics	 Finn E. Kydland 	Norway	Male
2004	Economics	 Edward C. Prescott 	USA	Male
2004	Literature	 Elfriede Jelinek 	Austria	Female
2004	Medicine	 Richard Axel 	USA	Male
2004	Medicine	 Linda B. Buck 	USA	Female
2004	Peace	 Wangari Maathai 	Kenya	Female
2004	Physics	 David J. Gross 	USA	Male
2004	Physics	 H. David Politzer 	USA	Male
2004	Physics	 Frank Wilczek 	USA	Male
2003	Chemistry	 Peter Agre 	USA	Male
2003	Chemistry	 Roderick MacKinnon 	USA	Male
2003	Economics	 Robert F. Engle III 	USA	Male
2003	Economics	 Clive W.J. Granger 	UK	Male
2003	Literature	 J. M. Coetzee 	South Africa	Male
2003	Medicine	 Paul C. Lauterbur 	USA	Male
2003	Medicine	 Sir Peter Mansfield 	UK	Male
2003	Peace	 Shirin Ebadi 	Iran	Female
2003	Physics	 Alexei A. Abrikosov 	USA, Russia	Male
2003	Physics	 Vitaly L. Ginzburg 	Russia	Male
2003	Physics	 Anthony J. Leggett 	UK, USA	Male
2002	Chemistry	 John B. Fenn 	USA	Male
2002	Chemistry	 Koichi Tanaka 	Japan	Male
2002	Chemistry	 Kurt Wuthrich 	Switzerland	Male
2002	Economics	 Daniel Kahneman 	USA, Israel	Male
2002	Economics	 Vernon L. Smith 	USA	Male
2002	Literature	 Imre Kertesz 	Hungary	Male
